NCM;InicioVigencia;FimVigencia
91149040;01/01/2016;31/03/2022
91149050;01/01/2016;31/03/2022
91149060;01/01/2016;31/03/2022
91149070;01/01/2016;31/03/2022
91149090;01/01/2016;31/03/2022
94013010;01/01/2016;31/03/2022
94013090;01/01/2016;31/03/2022
94014010;01/01/2016;31/03/2022
94014090;01/01/2016;31/03/2022
94019010;01/01/2016;31/03/2022
94019090;01/01/2016;31/03/2022
94039010;01/01/2016;31/03/2022
94039090;01/01/2016;31/03/2022
94051010;01/01/2016;31/03/2022
94051091;01/01/2016;31/03/2022
94051092;01/01/2016;31/03/2022
94051093;01/01/2016;31/03/2022
94051099;01/01/2016;31/03/2022
94052000;01/01/2016;31/03/2022
94053000;01/01/2016;31/03/2022
94054010;01/01/2016;31/03/2022
94054090;01/01/2016;31/03/2022
94056000;01/01/2016;31/03/2022
95089011;01/01/2020;31/03/2022
95089012;01/01/2020;31/03/2022
95089019;01/01/2020;31/03/2022
95089021;01/01/2020;31/03/2022
95089022;01/01/2020;31/03/2022
95089023;01/01/2020;31/03/2022
95089041;01/01/2020;31/03/2022
95089042;01/01/2020;31/03/2022
95089043;01/01/2020;31/03/2022
95089049;01/01/2020;31/03/2022
95089050;01/01/2020;31/03/2022
95089060;01/01/2020;31/03/2022
96121011;01/01/2016;31/03/2022
96121012;01/01/2016;31/03/2022
96121013;01/01/2016;31/03/2022
96121019;01/01/2016;31/03/2022
96121090;01/01/2016;31/03/2022
97011000;01/01/2016;31/03/2022
97019000;01/01/2016;31/03/2022
97020000;01/01/2016;31/03/2022
97030000;01/01/2016;31/03/2022
97050000;01/01/2016;31/03/2022
97060000;01/01/2016;31/03/2022
